Date,Price
31.01.2023,"488,20"
01.02.2023,"488,80"
02.02.2023,"492,00"
03.02.2023,"485,20"
06.02.2023,"493,40"
07.02.2023,"490,80"
08.02.2023,"487,60"
09.02.2023,"482,00"
10.02.2023,"481,00"
13.02.2023,"482,40"
14.02.2023,"485,60"
15.02.2023,"460,00"
16.02.2023,"456,40"
17.02.2023,"456,40"
20.02.2023,"456,40"
21.02.2023,"468,20"
22.02.2023,"465,40"
24.02.2023,"473,40"
27.02.2023,"476,60"
28.02.2023,"475,60"
01.03.2023,"487,20"
02.03.2023,"475,20"
03.03.2023,"479,80"
06.03.2023,"489,80"
07.03.2023,"486,80"
09.03.2023,"488,60"
10.03.2023,"485,60"
13.03.2023,"497,80"
14.03.2023,"507,20"
15.03.2023,"501,20"
16.03.2023,"485,20"
17.03.2023,"482,40"
20.03.2023,"484,20"
21.03.2023,"480,60"
22.03.2023,"478,00"
23.03.2023,"478,00"
24.03.2023,"478,80"
27.03.2023,"485,60"
28.03.2023,"483,20"
29.03.2023,"483,40"
30.03.2023,"485,60"
31.03.2023,"480,80"
03.04.2023,"481,60"
04.04.2023,"471,40"
05.04.2023,"467,80"
06.04.2023,"464,00"
07.04.2023,"461,20"
10.04.2023,"478,60"
11.04.2023,"467,00"
12.04.2023,"474,40"
13.04.2023,"470,60"
14.04.2023,"471,60"
17.04.2023,"476,40"
18.04.2023,"484,60"
19.04.2023,"471,60"
20.04.2023,"479,60"
21.04.2023,"480,60"
24.04.2023,"478,80"
25.04.2023,"478,60"
26.04.2023,"487,60"
27.04.2023,"501,80"
28.04.2023,"496,60"
02.05.2023,"484,20"
03.05.2023,"462,80"
04.05.2023,"472,20"
05.05.2023,"474,60"
08.05.2023,"467,00"
10.05.2023,"488,40"
11.05.2023,"479,00"
12.05.2023,"486,20"
15.05.2023,"516,60"
16.05.2023,"512,40"
17.05.2023,"512,00"
18.05.2023,"509,60"
19.05.2023,"540,40"
22.05.2023,"534,80"
23.05.2023,"532,40"
24.05.2023,"543,00"
25.05.2023,"541,60"
26.05.2023,"559,40"
29.05.2023,"591,60"
30.05.2023,"573,00"
31.05.2023,"574,80"
01.06.2023,"572,40"
02.06.2023,"618,60"
05.06.2023,"612,00"
06.06.2023,"629,80"
07.06.2023,"633,60"
08.06.2023,"641,40"
09.06.2023,"635,80"
13.06.2023,"634,40"
14.06.2023,"630,00"
15.06.2023,"623,80"
16.06.2023,"618,80"
19.06.2023,"621,60"
20.06.2023,"628,20"
